model,accuracy,macro_f1,weighted_f1
MODEL A - TF-IDF + LOGISTIC REGRESSION,0.35841313269493846,0.40695105774039103,0.33554905648143923
MODEL B - TF-IDF + CALIBRATED LINEAR SVM,0.2448700410396717,0.18423607522546703,0.20893238125312866
