model,accuracy,macro_f1,weighted_f1
MODEL A - TF-IDF + Logistic Regression,0.9696969696969697,0.9705089744563429,0.9693599734611354
MODEL B - TF-IDF + Calibrated Linear SVM,0.9696969696969697,0.9705583402951824,0.9694112626443453
